week,lusdBurn,ethGain,gain
2021-04-05T00:00:00+00:00,642083.3500000000000000,341.0868318261667902,0.09277974588973357622331832615189
2021-04-12T00:00:00+00:00,676648.3000000000000000,362.08050000000000000000,0.089721506246761395838872276779532292
2021-04-19T00:00:00+00:00,24500.000000000000,11.3404130000000000,0.09080027290983563177924587469388
2021-04-26T00:00:00+00:00,45999.9999999998950837,18.2959605000000030,0.09301921400346869170808178591570
2021-05-03T00:00:00+00:00,46518.6217909093294280,15.59662500000000000000,0.089479367855300729871652068145629129
2021-05-17T00:00:00+00:00,92252082.9587566694034802,47991.32080646902217570000,0.078527788845648619669605780571768636
2021-05-24T00:00:00+00:00,2009.0526758311923182,0.84575000000000000000,0.090936546350703285084178883597726412
2021-05-31T00:00:00+00:00,132888.1501984774929487,52.42968505153763370000,0.090087534300497308695899589018330544
2021-06-07T00:00:00+00:00,121696.569915082309,54.1071749990153740,0.09403049277948230004003884065729
2021-06-14T00:00:00+00:00,16384.7363315923009522,7.4435950000000000,0.09006897998146975522381341674002
2021-06-21T00:00:00+00:00,1260874.0154799509032927,779.4756570859956986,0.09404899053749409239368950507332
2021-06-28T00:00:00+00:00,10082.9858800151268742,5.0221068116702128,0.09209334399878955922794472478080
2021-08-02T00:00:00+00:00,157212.397614313797,62.7202230000000000,0.09384780959011221297366996313956
2021-08-16T00:00:00+00:00,2009.0085831184806974,0.70465900000000000000,0.094197863555110408421983568736283768
2021-09-06T00:00:00+00:00,11969218.256162222836,3840.2079177957425974,0.05950977774790575818771706414809
2021-09-13T00:00:00+00:00,849685.511474610996,294.8713086074078547,0.09199136659372005986924626689001
2021-09-20T00:00:00+00:00,3137109.1722973097416002,1119.59318222627985800000,0.091382797155361118991373221298451166
2021-10-04T00:00:00+00:00,120799.591316877459,37.8100000000000000,0.09167218325860385163084924358397
2021-10-18T00:00:00+00:00,13801.0459064758943308,4.0001622801764163,0.09273199563248728774132369605501
2021-11-01T00:00:00+00:00,14886.9483690897324234,3.7029960423168079,0.09326918416779084494026051533888
2021-11-08T00:00:00+00:00,69002.441798250498,15.9200000000000000,0.09127732383249648798080070654421
2021-11-15T00:00:00+00:00,10578.383312665512,2.9163276211371377,0.09358101131052652309178824693020
2021-11-29T00:00:00+00:00,1129870.055172998538,319.7582710844761452,0.08938519611128281270761190098896
2021-12-06T00:00:00+00:00,4422.3336080068665301,1.1840500000000000,0.09059792546674779866987027625694
2021-12-13T00:00:00+00:00,403746.026697886696,119.6885625409651069,0.09203435443132702189865012394607
