address,amount
\x356ee97d7d560af2e97e9f9eee56b2e09d60e6f5,8390
\xb631651cb570ba0c0d696bd5e4860cbd214f20a0,1791
\xa6edc956290b7ce416c5d8edc67e1c32506fe099,1704
\xefab18983029d2ba840e34698efb67fdf8120711,1029
\x5bfce71a1909b4525156290a8fa61af0f723ab4b,891
\x0d57dca1b658da56fabc86d94a08ba07557c2a08,786
\x832217764a804d1aae4007a2bc4f5b6527a979d0,763
\xfe32a37f15ee4a4b59715530e5817d1322b9df80,676
\x321a1f4026c5d4c48e71c4f0f0d1b3f17e9d200b,632
\xa42e82c8cb31068b240772ec69685ffc59b7fd11,525
\xe09fcbe1937316dc65cbc6c393b0dfd486d84279,522
\xe0f87651d3b65641c0fe1b71c5fbe88236d4b2e6,504
\x1da81137c7848020f1884710c3a7467e05f1b3a8,500
\x648c991d4b4ec255d10f2c19a0ea35335aee315d,490
\x1d64e11f7b780b31e53ca10f9782776d5665d7d5,436
\x6c4d08a154e8e9cc628e3f987c7082bdc26c0d93,430
\x121667b6690f5040c672c3df912a5aaf8735ca23,410
\x9220910945de631feec536748b56945d0fbfd2ee,334
\x800ba9525bddd17234b16f2064d8d3784f75ffc5,322
\x6b13114cc2fd1d24c19189d33fe7d4afa9c3d139,310
\x41e06931e14c09ab705a3fac97d0f865096f1fe9,301
\x1ce7dc66cc98c61a573105514d073d64a9a8608f,273
\xa1de6cd469037207f710dd17baa6b5f8739d3261,261
\x50836822af94bb883d52ee180682b6035b2603d4,245
\x469136b018a816c42f0354c5768fe2615d903ead,244
