day,median_gas_price_gwei
2022-04-29T00:00:00+00:00,42.453094297
2022-04-28T00:00:00+00:00,46.6757729775
2022-04-27T00:00:00+00:00,44.2457507705
2022-04-26T00:00:00+00:00,44.051687597
2022-04-25T00:00:00+00:00,48.1012016
2022-04-24T00:00:00+00:00,29.316811557
2022-04-23T00:00:00+00:00,31.085990183
2022-04-22T00:00:00+00:00,47.25296164
2022-04-21T00:00:00+00:00,57.656791344
2022-04-20T00:00:00+00:00,47.671555077
2022-04-19T00:00:00+00:00,38.721989997
2022-04-18T00:00:00+00:00,32.885034939
2022-04-17T00:00:00+00:00,24.417201591
2022-04-16T00:00:00+00:00,27.4
2022-04-15T00:00:00+00:00,36.706514652
2022-04-14T00:00:00+00:00,44.187588492
2022-04-13T00:00:00+00:00,45.800432136
2022-04-12T00:00:00+00:00,44.769824813
2022-04-11T00:00:00+00:00,41.935377433
2022-04-10T00:00:00+00:00,31.603042494
2022-04-09T00:00:00+00:00,34.462275792
2022-04-08T00:00:00+00:00,51.760919294
2022-04-07T00:00:00+00:00,53.228608539
2022-04-06T00:00:00+00:00,55.05330868
2022-04-05T00:00:00+00:00,64.201566132
2022-04-04T00:00:00+00:00,60.748593225
2022-04-03T00:00:00+00:00,46.964530043
2022-04-02T00:00:00+00:00,50.9386710695
2022-04-01T00:00:00+00:00,59.025670266
2022-03-31T00:00:00+00:00,45.828042554
2022-03-30T00:00:00+00:00,43.511926706
2022-03-29T00:00:00+00:00,43.362466175
2022-03-28T00:00:00+00:00,44.792194957
2022-03-27T00:00:00+00:00,28.326247067
2022-03-26T00:00:00+00:00,29.974798362
2022-03-25T00:00:00+00:00,40.124893324
2022-03-24T00:00:00+00:00,44.477858694
2022-03-23T00:00:00+00:00,35
2022-03-22T00:00:00+00:00,40
2022-03-21T00:00:00+00:00,32.626047982
2022-03-20T00:00:00+00:00,23.738281851
2022-03-19T00:00:00+00:00,27.967915135
2022-03-18T00:00:00+00:00,52.156130909
2022-03-17T00:00:00+00:00,42.158082179
2022-03-16T00:00:00+00:00,38
2022-03-15T00:00:00+00:00,33.109692183
2022-03-14T00:00:00+00:00,28.295172768
2022-03-13T00:00:00+00:00,26.261220368
2022-03-12T00:00:00+00:00,21.98158972
2022-03-11T00:00:00+00:00,27.687687073
2022-03-10T00:00:00+00:00,30.746157311
2022-03-09T00:00:00+00:00,36.049626003
2022-03-08T00:00:00+00:00,34.393075481
2022-03-07T00:00:00+00:00,34.9029945
2022-03-06T00:00:00+00:00,31.126083548
2022-03-05T00:00:00+00:00,32.515820631
2022-03-04T00:00:00+00:00,41.577110832
2022-03-03T00:00:00+00:00,44.521915149
2022-03-02T00:00:00+00:00,49.100906857
2022-03-01T00:00:00+00:00,54.991908246
2022-02-28T00:00:00+00:00,53.95385441
2022-02-27T00:00:00+00:00,36.9302986
2022-02-26T00:00:00+00:00,40.171579247
2022-02-25T00:00:00+00:00,50.967217074
2022-02-24T00:00:00+00:00,71.351269726
2022-02-23T00:00:00+00:00,69.348137989
2022-02-22T00:00:00+00:00,79.499746973
2022-02-21T00:00:00+00:00,83.532197578
2022-02-20T00:00:00+00:00,56.133498174
2022-02-19T00:00:00+00:00,59.775576972
2022-02-18T00:00:00+00:00,89.574971016
2022-02-17T00:00:00+00:00,68.098307975
2022-02-16T00:00:00+00:00,69.56382765
2022-02-15T00:00:00+00:00,57.954134449
2022-02-14T00:00:00+00:00,51.936355793
2022-02-13T00:00:00+00:00,50.962832737
2022-02-12T00:00:00+00:00,56.897413391
2022-02-11T00:00:00+00:00,68.466325198
2022-02-10T00:00:00+00:00,79.489680763
2022-02-09T00:00:00+00:00,79.285647152
2022-02-08T00:00:00+00:00,84.657746695
2022-02-07T00:00:00+00:00,105
2022-02-06T00:00:00+00:00,65.921550049
2022-02-05T00:00:00+00:00,72.994304249
2022-02-04T00:00:00+00:00,99.260760215
2022-02-03T00:00:00+00:00,106.463339653
2022-02-02T00:00:00+00:00,122.946834806
2022-02-01T00:00:00+00:00,134.765367297
2022-01-31T00:00:00+00:00,110.131081344
2022-01-30T00:00:00+00:00,98.724471927
2022-01-29T00:00:00+00:00,115.436494395
